Mouse gene name,Mouse gene stable ID,Mouse homology type,Gene stable ID,Gene name
,,,ENSGALG00000041922,
,,,ENSGALG00000036956,
,,,ENSGALG00000032059,
,,,ENSGALG00000043598,
,,,ENSGALG00000040296,
mt-Nd1,ENSMUSG00000064341,ortholog_one2one,ENSGALG00000042750,ND1
,,,ENSGALG00000035975,
,,,ENSGALG00000029193,
,,,ENSGALG00000038760,
mt-Nd2,ENSMUSG00000064345,ortholog_one2one,ENSGALG00000043768,MT-ND2
,,,ENSGALG00000035685,
,,,ENSGALG00000035392,
,,,ENSGALG00000033139,
,,,ENSGALG00000034813,
,,,ENSGALG00000037641,
mt-Co1,ENSMUSG00000064351,ortholog_one2one,ENSGALG00000032142,MT-CO1
,,,ENSGALG00000033462,
,,,ENSGALG00000031197,
mt-Co2,ENSMUSG00000064354,ortholog_one2one,ENSGALG00000032456,COII
,,,ENSGALG00000038283,
,,,ENSGALG00000032465,ATP8
mt-Atp6,ENSMUSG00000064357,ortholog_one2one,ENSGALG00000041091,ATP6
mt-Co3,ENSMUSG00000064358,ortholog_one2one,ENSGALG00000035334,COX3
,,,ENSGALG00000038243,
mt-Nd3,ENSMUSG00000064360,ortholog_one2one,ENSGALG00000030436,ND3
,,,ENSGALG00000037369,
,,,ENSGALG00000042478,ND4L
mt-Nd4,ENSMUSG00000064363,ortholog_one2one,ENSGALG00000036229,ND4
,,,ENSGALG00000042903,
,,,ENSGALG00000034022,
,,,ENSGALG00000036970,
mt-Nd5,ENSMUSG00000064367,ortholog_one2one,ENSGALG00000029500,ND5
mt-Cytb,ENSMUSG00000064370,ortholog_one2one,ENSGALG00000032079,CYTB
,,,ENSGALG00000032370,
,,,ENSGALG00000042677,
mt-Nd6,ENSMUSG00000064368,ortholog_one2one,ENSGALG00000037838,ND6
,,,ENSGALG00000039249,
,,,ENSGALG00000048947,
,,,ENSGALG00000051701,
,,,ENSGALG00000047330,
,,,ENSGALG00000051699,
,,,ENSGALG00000051400,
,,,ENSGALG00000051410,
,,,ENSGALG00000047969,
,,,ENSGALG00000052082,
,,,ENSGALG00000049220,
Sh3rf1,ENSMUSG00000031642,ortholog_one2one,ENSGALG00000009692,SH3RF1
,,,ENSGALG00000048477,
,,,ENSGALG00000042494,
,,,ENSGALG00000051910,
Ppp1cc,ENSMUSG00000004455,ortholog_one2one,ENSGALG00000004571,PPP1CC
Frs2,ENSMUSG00000020170,ortholog_one2one,ENSGALG00000009966,FRS2
,,,ENSGALG00000034000,
,,,ENSGALG00000049806,
,,,ENSGALG00000035332,
,,,ENSGALG00000051966,
,,,ENSGALG00000050290,
,,,ENSGALG00000050437,
,,,ENSGALG00000051571,
,,,ENSGALG00000048690,
,,,ENSGALG00000053759,
,,,ENSGALG00000050778,
Senp1,ENSMUSG00000033075,ortholog_one2one,ENSGALG00000034421,SENP1
Igsf3,ENSMUSG00000042035,ortholog_one2one,ENSGALG00000036738,IGSF3
,,,ENSGALG00000052160,
,,,ENSGALG00000047186,
,,,ENSGALG00000050423,
,,,ENSGALG00000047541,
,,,ENSGALG00000053138,
